example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/bin_run_spec.rb[1:1:1]                           | passed | 3.6 seconds     |
./spec/dependabot/api_client_spec.rb[1:1:1]             | passed | 0.00139 seconds |
./spec/dependabot/api_client_spec.rb[1:1:2]             | passed | 0.0036 seconds  |
./spec/dependabot/api_client_spec.rb[1:2:1]             | passed | 0.00216 seconds |
./spec/dependabot/api_client_spec.rb[1:2:2]             | passed | 0.00511 seconds |
./spec/dependabot/api_client_spec.rb[1:2:3:1]           | passed | 0.00277 seconds |
./spec/dependabot/api_client_spec.rb[1:3:1]             | passed | 0.00152 seconds |
./spec/dependabot/api_client_spec.rb[1:4:1]             | passed | 0.00159 seconds |
./spec/dependabot/api_client_spec.rb[1:5:1]             | passed | 0.00158 seconds |
./spec/dependabot/api_client_spec.rb[1:6:1]             | passed | 0.00206 seconds |
./spec/dependabot/api_client_spec.rb[1:7:1]             | passed | 0.00202 seconds |
./spec/dependabot/api_client_spec.rb[1:8:1]             | passed | 0.00196 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:1]       | passed | 0.04948 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:2]       | passed | 0.01698 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:3:1]     | passed | 0.003 seconds   |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:4:1]     | passed | 0.00211 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:5:1]     | passed | 0.01102 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:6:1]     | passed | 0.79306 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:7:1]     | passed | 0.98857 seconds |
./spec/dependabot/file_fetcher_job_spec.rb[1:1:7:2]     | passed | 0.0159 seconds  |
./spec/dependabot/instrumentation_spec.rb[1:1:1]        | passed | 0.00085 seconds |
./spec/dependabot/integration_spec.rb[1:1:1]            | failed | 0.07627 seconds |
./spec/dependabot/integration_spec.rb[1:1:2]            | failed | 0.09173 seconds |
./spec/dependabot/integration_spec.rb[1:2:1]            | failed | 0.40383 seconds |
./spec/dependabot/integration_spec.rb[1:3:1]            | failed | 0.1804 seconds  |
./spec/dependabot/integration_spec.rb[1:4:1]            | failed | 3.85 seconds    |
./spec/dependabot/job_spec.rb[1:1:1:1]                  | passed | 0.00028 seconds |
./spec/dependabot/job_spec.rb[1:1:2:1]                  | passed | 0.00022 seconds |
./spec/dependabot/job_spec.rb[1:1:2:2:1]                | passed | 0.00035 seconds |
